symbol_norm,forum_level,procedure_kind,case_category,valid_from,valid_to,meaning_basis,source_ref,source_captured_at,source_hash,status
ワ,district,first_instance_ordinary,civil,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
ハ,summary,first_instance_ordinary,civil,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
レ,district,appeal_kosso_from_summary,civil,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
ネ,high,appeal_kosso,civil,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
オ,supreme,jokoku,civil,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
受,supreme,jokoku_juri_moshitate,civil,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
ツ,high,jokoku_from_summary,civil,unknown,unknown,alo_provisional,,pending_capture,pending_capture,review
ヨ,district,hozen,civil,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
ヲ,district,execution,civil,unknown,unknown,alo_provisional,,pending_capture,pending_capture,review
フ,district,bankruptcy,civil,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
再,district,civil_rehabilitation,civil,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
ミ,district,corporate_reorganization,civil,unknown,unknown,alo_provisional,,pending_capture,pending_capture,review
ヌ,district,execution_claim,civil,unknown,unknown,alo_provisional,,pending_capture,pending_capture,review
ル,district,execution,civil,unknown,unknown,alo_provisional,,pending_capture,pending_capture,review
リ,district,execution_secured_realty,civil,unknown,unknown,alo_provisional,,pending_capture,pending_capture,review
わ,district,first_instance,criminal,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
う,high,appeal_kosso,criminal,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
あ,supreme,jokoku,criminal,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
ほ,summary,first_instance,criminal,unknown,unknown,alo_provisional,,pending_capture,pending_capture,review
行ウ,district,gyosei_first_instance,administrative,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
行ケ,high,gyosei_first_instance,administrative,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
行コ,high,gyosei_kosso_teiki,administrative,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
行ス,high,gyosei_kokoku_teiki,administrative,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
行サ,high,gyosei_jokoku_teiki,administrative,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
行ツ,supreme,gyosei_jokoku,administrative,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
行ヒ,supreme,gyosei_jokoku_juri,administrative,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
行フ,supreme,gyosei_kyoka_kokoku,administrative,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
家,family,kaji_shinpan,family,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
家イ,family,kaji_chotei,family,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
家ロ,family,kaji_betsuhyo2_shinpan,family,unknown,unknown,alo_provisional,,pending_capture,pending_capture,review
タ,district,jinji_sosho,family,unknown,unknown,alo_provisional,,pending_capture,pending_capture,review
労,district,rodo_shinpan,labor,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
少,family,shonen_hogo,juvenile,unknown,unknown,court_official_definition,court:裁判例検索/符号の説明,pending_capture,pending_capture,pending_source_fixation
ヰ,daishin_in,old_civil,civil,unknown,1947-05-02,alo_provisional,,pending_capture,pending_capture,review
