pid	name	title	year	publisher	ptype_original	ptype_recommended	ptype_blind	blind_confidence	agreement	final_recommendation	blind_evidence
publication:bencom:01bd3ca8545225c9	平田 厚	類型別 慰謝料算定の実務Ⅱ	2024	青林書院	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	平田厚は弁護士登録を持つ実務家出身だが、現在は明治大学法科大学院教授(専任の大学教員)。成年後見法、消費者法、慰謝料・損害賠償等を専門とし多数の著作を持つ。主たる肩書が大学教員であるため scholar と判定。なお弁護士資格も保持しているが大学専任教授が主たる地位。
publication:bencom:23cad3b994b9f12f	平田 厚	介護事故の法律相談	2019	青林書院	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	平田厚は明治大学法科大学院教授(専門は民法・成年後見・福祉法)であり、同時に弁護士登録もしている。元々は弁護士として障害者・高齢者の権利擁護や成年後見、福祉分野で活動し、その後大学専任教員となった経歴を持つ。主たる肩書が大学教授であるため scholar と判定。著作「介護事故の法律相談」も福祉・成年後見領域という同氏の専門分野と整合する。
publication:bencom:27252c9cd7f148ab	平田 厚	子の親権・監護・面会交流の法律相談	2019	青林書院	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	平田厚は弁護士登録を有する実務家出身であるが、現在は明治大学法科大学院（法学部・専門職大学院）の教授を主たる肩書とする法学者である。専門は民法・成年後見・家族法（親権・監護・面会交流）・社会福祉法など。著作テーマ（子の親権・監護・面会交流）も家族法研究と整合する。弁護士資格も持つが主たる肩書が大学教員のため scholar と判定。
publication:bencom:341c4fa78765707c	畠田 公明	会社法のファイナンスとM&A	2017	法律文化社	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	畠田公明氏は商法・会社法を専門とする法学者。福岡大学法学部教授を長く務め、現在は福岡大学名誉教授。著書「会社法のファイナンスとM&A」(法律文化社, 2017)のほか「コーポレート・ガバナンスにおける取締役の責任制度」など会社法分野の研究書・教科書を多数執筆しており、大学教員・研究者(scholar)と判定できる。
publication:bencom:3989469bd58ab915	遠藤, 元一	循環取引の実務対応	2012	民事法研究会	scholar	lawyer_practitioner	lawyer_practitioner	medium	confirms_correction	lawyer_practitioner	遠藤元一は東京霞ヶ関法律事務所に所属する弁護士。会社法・金融商品取引法・倒産法など企業法務分野で多数の実務書を執筆しており、「循環取引の実務対応」(民事法研究会, 2012)もその一つ。発行元の民事法研究会は実務家向け書籍を多く出す出版社であり、著作テーマも実務対応に特化している点とも整合する。大学専任教員としての主たる肩書は確認できず、弁護士(実務法律家)と判定する。
publication:bencom:421697635361b63d	平田 厚	終活と相続・財産管理の法律相談	2022	青林書院	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	平田厚は明治大学法科大学院（専門職大学院法務研究科）の教授であり、同時に弁護士登録もしている。元々は弁護士として成年後見・高齢者財産管理・消費者問題・社会福祉法務などの実務に携わってきたが、現在は大学専任教員（教授）を主たる肩書とするため scholar と判定。著作「終活と相続・財産管理の法律相談」も同分野の専門に合致する。
publication:bencom:484b6696391d8fd8	河合, 潤	鑑定不正 カレーヒ素事件	2021	日本評論社	scholar	other	other	high	confirms_correction	other	河合潤は京都大学大学院工学研究科の教授で、専門はX線分析・分析化学(自然科学者)。和歌山カレー事件のヒ素鑑定を再分析し、鑑定の不正を指摘した立場から『鑑定不正—カレーヒ素事件』(日本評論社, 2021)を著した。すなわち大学教員ではあるが法学者ではなく、弁護士・裁判官・検察官のいずれでもない。法学分野の研究者ではない自然科学者(鑑定批判の専門家)であるため、person_typeの「scholar(法学者)」には該当せず「other」と判定。確信度は高い。
publication:bencom:5252ecd79ffffc33	平田 厚	審判例にみる家事事件における事情変更	2017	新日本法規出版	lawyer_practitioner	scholar	scholar	medium	confirms_correction	scholar	平田厚は明治大学法科大学院（専門職大学院）教授であり、主たる肩書は大学教員。元々は弁護士として成年後見・家族法・福祉関連法を専門とする実務家出身で弁護士登録も保持しているが、現在は大学専任の研究者・教育者であるため scholar と判定。著作「審判例にみる家事事件における事情変更」（新日本法規）も家事・成年後見分野の専門に合致する。なお記憶に基づく判定で、現職所属は時点により変動の可能性あり。
publication:bencom:53c9153053920d35	石塚 伸一	刑事司法記録の保存と閲覧	2023	日本評論社	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	石塚伸一は刑事法・刑事政策を専門とする法学者で、龍谷大学法学部教授。同大学の矯正・保護総合センター長などを務めた。薬物政策、修復的司法、死刑廃止論、刑事司法記録など刑事司法分野の研究で知られる。著作「刑事司法記録の保存と閲覧」(日本評論社, 2023)も研究テーマと一致する。主たる肩書は大学教員であり scholar と判断。
publication:bencom:5a87778269f1e70d	平田 厚	婚姻費用・養育費・財産分与の法律相談	2020	青林書院	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	平田厚は明治大学法科大学院・専門職大学院法務研究科の教授（民法・成年後見・福祉法分野）であり、弁護士登録もしている実務家出身の研究者。元々は弁護士として活動し、成年後見制度や家族法、消費者法、福祉関連法の著作が多数ある。現在の主たる肩書は大学教員（明治大学教授）であるため scholar と判定。著作「婚姻費用・養育費・財産分与の法律相談」も家族法分野の研究・実務書としてこの経歴と整合する。
