pattern,type,note
info@asai-lo.com,運営アドレス,所内一般窓口
recruite@asai-lo.com,運営アドレス,採用
box@asai-lo.com,システム通知,Boxストレージ通知
office.asai-lo.com,運営アドレス,事務所運営
mailmagazines,配信,メルマガ保管(Boxフォルダ)
List-Unsubscribe ヘッダ,配信ヘッダ,一斉配信メールの目印
no-reply / noreply,送信専用,自動送信・通知
〜研修 / 〜セミナー / 講師依頼 / 受講案内,定型語,研修・対外活動(a1s)
事務所日常業務,研修・活動クラスタ(a1s),非案件: 活動バケットへ
全倒ネット京都大会,研修・活動クラスタ(a1s),非案件: 活動バケットへ
近弁連意見交換会,研修・活動クラスタ(a1s),非案件: 活動バケットへ
公認会計士会との事業再生勉強会,研修・活動クラスタ(a1s),非案件: 活動バケットへ
QA個人債務整理本,研修・活動クラスタ(a1s),非案件: 活動バケットへ
大阪 弁護士・会計士の合同勉強会,研修・活動クラスタ(a1s),非案件: 活動バケットへ
破産ストーリー本執筆,研修・活動クラスタ(a1s),非案件: 活動バケットへ
同志社ローAAゼミ,研修・活動クラスタ(a1s),非案件: 活動バケットへ
20211209京都税理士会伏見支部 事業再生セミナー,研修・活動クラスタ(a1s),非案件: 活動バケットへ
20211022 京都協議会 経営者保証GL研修,研修・活動クラスタ(a1s),非案件: 活動バケットへ
民事委員会,研修・活動クラスタ(a1s),非案件: 活動バケットへ
JHONAN 内部通報窓口関係業務,研修・活動クラスタ(a1s),非案件: 活動バケットへ
京都商工会議所 セミナー(コンプライアンス研修),研修・活動クラスタ(a1s),非案件: 活動バケットへ
五十川さん 紛議調停 2021年度(紛)第9号,研修・活動クラスタ(a1s),非案件: 活動バケットへ
事業再生と債権管理 連載企画(ベイマリン＋京都),研修・活動クラスタ(a1s),非案件: 活動バケットへ
JLA(ジャパンリーガルアライアンス),研修・活動クラスタ(a1s),非案件: 活動バケットへ
【森・浅井】経営者保証GL研修 @ 札幌研修,研修・活動クラスタ(a1s),非案件: 活動バケットへ
20230906商工会議所 契約書セミナー(ゼロから学ぶ),研修・活動クラスタ(a1s),非案件: 活動バケットへ
中信サクセスクラブ 事業承継セミナー,研修・活動クラスタ(a1s),非案件: 活動バケットへ
2022商工会議所 コンプラ研修,研修・活動クラスタ(a1s),非案件: 活動バケットへ
契約審査手続マニュアル執筆 山田先生,研修・活動クラスタ(a1s),非案件: 活動バケットへ
アドバイザー弁護士向け研修会・意見交換会,研修・活動クラスタ(a1s),非案件: 活動バケットへ
日弁連 倒産法制等検討委員会 (執筆+セミナー),研修・活動クラスタ(a1s),非案件: 活動バケットへ
商工会議所 新入社員研修,研修・活動クラスタ(a1s),非案件: 活動バケットへ
日弁連 倒産法制検討委員会 実務対応チーム,研修・活動クラスタ(a1s),非案件: 活動バケットへ
案件外,運用トリアージ・ラベル,事務所が手作業で付与(非案件確定)
要確認,運用トリアージ・ラベル,事務所が手作業で付与(グレー→人レビュー)
誤分類,運用トリアージ・ラベル,事務所が手作業で付与(誤紐付けの訂正)
法テラス,相談の紹介元(intake source),案件性は高いが紹介経路。非案件ではない点に注意
京都弁護士会,相談の紹介元(intake source),クレジット・サラ金相談等の経路
遺言・相続センター,相談の紹介元(intake source),相続相談の経路
駅前センター夜間法律相談,相談の紹介元(intake source),夜間相談の経路
欠陥住宅京都ネット,相談の紹介元(intake source),専門相談の経路
荒木先生(荒木聡/荒木パートナーズ araki@ark-ps.com),協業先(会計士/FA),非案件: 協業先フォルダ。M&A等の協業
協業先(会計士・司法書士・FA・他士業),協業先,非案件: 当事者ではなく協業者。同姓異人に注意
