consultation_hash,matter_type_report_safe,case_outline_report_safe,query_text_report_safe,alo_inferred_case_category,flags,book_reach_via_terms,raw_toc_probe_hit_count,raw_record_probe_hit_count,failure_or_outcome_class
6721f60977f3,[区切り無・表示抑制],,[区切り無・表示抑制],後見,no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,non_stop_term_hit
bc3d63c1eae5,[区切り無・表示抑制],,[区切り無・表示抑制],一般民事,no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,20,0,stoplist_only_hit
ca33bb9b74c7,[区切り無・表示抑制],,[区切り無・表示抑制],一般民事,no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,20,0,stoplist_only_hit
6501cfd92379,[区切り無・表示抑制],,[区切り無・表示抑制],一般民事,no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,20,0,stoplist_only_hit
02994e52a7c4,[区切り無・表示抑制],,[区切り無・表示抑制],一般民事,no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,stoplist_only_hit
c8b9c8b3d34e,[区切り無・表示抑制],,[区切り無・表示抑制],(未分類),no_delimiter|outline_missing|noise|pii_risk_suppressed_from_report,0,0,0,noise_record
26aa3469fdab,損害賠償請求事件(交通事故),,損害賠償請求事件(交通事故),損害賠償（交通）,outline_missing,0,0,0,stoplist_only_hit
afbc6ba6a92a,[区切り無・表示抑制],,[区切り無・表示抑制],(未分類),no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,3,2,raw_probe_hit_but_no_term_hit
d8ee553c1dd4,[区切り無・表示抑制],,[区切り無・表示抑制],損害賠償（交通）,no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,1,0,stoplist_only_hit
aa1ceab3bf99,[区切り無・表示抑制],,[区切り無・表示抑制],(未分類),no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,stoplist_only_hit
0e3b174921fb,[区切り無・表示抑制],,[区切り無・表示抑制],廃業支援（法的整理）,no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,no_term_no_raw_probe
1404a8a6ccaa,[区切り無・表示抑制],,[区切り無・表示抑制],廃業支援（法的整理）,no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,no_term_no_raw_probe
ac6c0f541f75,[区切り無・表示抑制],,[区切り無・表示抑制],(未分類),no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,stoplist_only_hit
b2bce894cd4e,[区切り無・表示抑制],,[区切り無・表示抑制],破産管財事件,no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,2,0,raw_probe_hit_but_no_term_hit
bc477c6d5067,[区切り無・表示抑制],,[区切り無・表示抑制],(未分類),no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,stoplist_only_hit
8bf66a2adaee,[区切り無・表示抑制],,[区切り無・表示抑制],廃業支援（法的整理）,no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,no_term_no_raw_probe
f1093181b852,[区切り無・表示抑制],,[区切り無・表示抑制],一般民事,no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,20,0,stoplist_only_hit
7ae9da2b312b,[区切り無・表示抑制],,[区切り無・表示抑制],(未分類),no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,no_term_no_raw_probe
d8ae40df84c1,損害賠償請求事件,交通事故弁護士特約案件,損害賠償請求事件 交通事故弁護士特約案件,一般民事,,0,20,0,stoplist_only_hit
b6968bb3f991,離婚事件,離婚事件,離婚事件 離婚事件,離婚,,0,13,22,raw_probe_hit_but_no_term_hit
ed36c7e8eabe,[PIIのため表示抑制],,[PIIのため表示抑制],(未分類),no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,stoplist_only_hit
b0e147d5a2cd,著作権侵害事件,著作権侵害　イラスト,著作権侵害事件 著作権侵害　イラスト,(未分類),,0,4,0,raw_probe_hit_but_no_term_hit
a9fe73396143,法律相談,,法律相談,契約法務,outline_missing|generic_matter_type_excluded_from_probe,0,0,0,stoplist_only_hit
54aaea4c36e6,離婚予備相談,離婚相談？,離婚予備相談 離婚相談？,離婚,,0,0,0,no_term_no_raw_probe
7e990cb5a15b,株主総会取締役会対応,,株主総会取締役会対応,(未分類),outline_missing,0,0,0,stoplist_only_hit
bfb7895d159e,法律相談,,法律相談,契約法務,outline_missing|generic_matter_type_excluded_from_probe,0,0,0,stoplist_only_hit
d9df604fe6fb,[区切り無・表示抑制],谷板金 事業承継・再生,[区切り無・表示抑制] 谷板金 事業承継・再生,(未分類),no_delimiter|pii_risk_suppressed_from_report,0,0,0,stoplist_only_hit
77519de113e1,[PIIのため表示抑制],,[PIIのため表示抑制],(未分類),no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,stoplist_only_hit
5170d88b9307,企業法務,,企業法務,契約法務,outline_missing|generic_matter_type_excluded_from_probe,0,0,0,no_term_no_raw_probe
0cb5a3839290,[区切り無・表示抑制],,[区切り無・表示抑制],(未分類),no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,no_term_no_raw_probe
d12baf1e39b8,[PIIのため表示抑制],,[PIIのため表示抑制],(未分類),no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,stoplist_only_hit
23289a8efce6,[区切り無・表示抑制],契約書レビュー,[区切り無・表示抑制] 契約書レビュー,契約法務,no_delimiter|pii_risk_suppressed_from_report,0,0,0,no_term_no_raw_probe
50ab3274fc9c,交通事故,[PIIのため表示抑制],交通事故 [PIIのため表示抑制],損害賠償（交通）,pii_risk_suppressed_from_report,0,149,185,raw_probe_hit_but_no_term_hit
98cee4135531,[PIIのため表示抑制],,[PIIのため表示抑制],(未分類),no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,stoplist_only_hit
2bd7124ae5ac,[PIIのため表示抑制],,[PIIのため表示抑制],(未分類),no_delimiter|outline_missing|pii_risk_suppressed_from_report,0,0,0,stoplist_only_hit
e475331f6aa2,債務整理,大亀さん＿債務整理,債務整理 大亀さん＿債務整理,債務整理,,0,27,9,raw_probe_hit_but_no_term_hit
3c7221a66d89,ライセンス契約書レビュー,[PIIのため表示抑制],ライセンス契約書レビュー [PIIのため表示抑制],契約法務,pii_risk_suppressed_from_report,0,0,0,stoplist_only_hit
7f365d609626,不当利得返還請求,,不当利得返還請求,(未分類),outline_missing,0,58,0,stoplist_only_hit
