質問ID,モジュール,対象工程,優先度,質問種別,triage_区分,triage_根拠,p0_status(P0のみ),メモ
Q-001,00_設計原則・統治,全体,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-002,00_設計原則・統治,全体,P1,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-003,00_設計原則・統治,全体,P0,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,浅井聴取必須,方針決定（設計判断）で回答者候補に浅井先生→浅井聴取必須（現時点 未決）
Q-004,00_設計原則・統治,全体,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-005,00_設計原則・統治,全体,P0,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,浅井聴取必須,方針決定（設計判断）で回答者候補に浅井先生→浅井聴取必須（現時点 未決）
Q-006,00_設計原則・統治,全体,P0,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,浅井聴取必須,方針決定（設計判断）で回答者候補に浅井先生→浅井聴取必須（現時点 未決）
Q-007,00_設計原則・統治,全体,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-008,00_設計原則・統治,全体,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-009,00_設計原則・統治,全体,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-010,00_設計原則・統治,全体,P2,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-011,00_設計原則・統治,全体,P2,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-012,00_設計原則・統治,全体,P2,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-013,00_設計原則・統治,全体,P2,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-014,00_設計原則・統治,全体,P0,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,浅井聴取必須,方針決定（設計判断）で回答者候補に浅井先生→浅井聴取必須（現時点 未決）
Q-015,00_設計原則・統治,全体,P2,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-016,00_設計原則・統治,全体,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-017,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-018,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-019,01_流入・問合せ受付,WF-00〜WF-02,P0,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-020,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-021,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-022,01_流入・問合せ受付,WF-00〜WF-02,P0,実態/証跡,既存資料から回答可能,確認先に電話マニュアル等の既存資料→既存資料で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-023,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-024,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-025,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-026,01_流入・問合せ受付,WF-00〜WF-02,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-027,01_流入・問合せ受付,WF-00〜WF-02,P0,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,浅井聴取必須,方針決定（設計判断）→owner裁定要・浅井聴取必須（現時点 未決）
Q-028,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-029,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-030,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-031,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-032,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-033,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-034,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-035,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
