module,triage_区分,p0_status_or_NA,回答状況,根拠,evidence_id,note
00_設計原則・統治,設計判断16,P0:浅井聴取系含む,未確認(owner裁定待ち),方針決定でデータ観測不可,GRILL G-01..G-20,Phase1で全16=設計判断。Owner Grill §1で集約
01_流入・問合せ受付,実データ17/既存1/設計判断2,P0一部 暫定回答・追加検証要,部分確認(暫定回答),112で問合せ受付observed/110 cases0行,EVD-112-trace1-0101; EV-110-cases0,受付の発生は確認。SF起票・流入経路はcases0行で未確認
02_本人関係・コンフリ・トリアージ,担当者聴取12/設計判断4/実データ1,P0:中森聴取必須3,未確認(聴取待ち),運用実態でデータに残らない,Q-037; Q-038/046/047,中森聴取必須。110 parties unknown5で名寄せ未完
03_日程調整・事前準備,実データ9/設計判断6/既存1,P0一部,未確認(暫定),日程確定検知は観測候補だが運用未確定,Q-062; G-07,112で相談前区間はDialpad/Notta未接続のため未取得
04_相談実施・相談後評価,実データ12/設計判断5/既存1,P0一部,部分確認(暫定),112 trace2で相談後評価observed/declared,EVD-112-trace2-0202; EVD-112-trace2-0203,相談実施本体(通話/対面)は未接続で未確認
05_見積・提案・受任契約,実データ14/実物サンプル3/設計判断4,P0一部,部分確認(暫定回答),112 trace1 提案→受任観測/111 見積・契約書実在,EVD-112-trace1-0102..0104; Box-(5)(6),PoC1の核。受任成立は確認済(WF-11)。承認過程は未確認
06_料金・請求・入出金,実データ25/設計判断1,P0一部 暫定回答・追加検証要,部分確認(暫定),112 trace1/3 請求・入金観測/111 会計台帳,EVD-112-trace1-0105; EVD-112-trace3-0304; Box-(7),client/payer分離実在(G-10)。入金消込はSF/MF未接続で未確認
07_案件計画・日常処理,実データ16/設計判断5,P0一部,未確認(暫定),112 work_item観測だがdue/completion全件null,EVD-112-trace3-0301; G-08,WorkItem必須5項目はG-08裁定待ち
08_文書・成果物・納品,実物サンプル21/設計判断1,P0:実物サンプル9,確認済(実物確認),111 Box実査12対象で所在・状態区別確認,Box-(1)..(12),Box実査で文書ライフサイクル状態区別を確認(4手段)。U1/U2は未確認残
09_連絡・チャネル統合,実データ14/設計判断1,P0一部,部分確認(暫定),110 comms343=chatwork100%/Gmail112で確認,EV-110-comms; EVD-112-*,Dialpad/Notta未接続で通話・会議チャネル未確認
10_裁判所・期限・提出,実データ11/設計判断1,P0一部,未確認,110 期限/手続/管轄の専用テーブル未到達,EV-110-no-deadline-table; G-20,SFミラーにDeadline格納先なし。期限正本はG-20裁定待ち
11_成果・終結・知識化,実データ14/実物サンプル6/設計判断3,P0:実物サンプル含む,部分確認,112 trace3で解決→精算観測/111 既済構造,EVD-112-trace3-0303..0305; Box-(11),close gate10条件はG-09。終了報告書ひな形U2未確認
12_例外・品質・セキュリティ,担当者聴取16/設計判断2,P0:外部SE確認必須2,未確認(聴取待ち),運用実態+実装事項でデータに残らない,Q-239; Q-243,中森/外部SE聴取必須。RLS無効(W-170/D-016)が運用ブロッカー
